,player_id,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
55,1055,Adam Buksa,POL,"FW,MF",Lens,Ligue 1,26,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
56,1056,Dan Burn,ENG,DF,Newcastle Utd,Premier League,30,0.03,0.0,0.03,0.03,0.03,0.06,0.04,0.1,0.06,0.1
57,1057,Sergio Busquets,ESP,MF,Barcelona,La Liga,34,0.0,0.15,0.15,0.0,0.15,0.02,0.11,0.13,0.02,0.13
58,1058,Jamie Bynoe-Gittens,ENG,"FW,MF",Dortmund,Bundesliga,17,0.51,0.17,0.68,0.51,0.68,0.41,0.12,0.53,0.41,0.53
59,1059,Jimmy Cabot,FRA,"DF,MF",Lens,Ligue 1,28,0.0,0.18,0.18,0.0,0.18,0.05,0.37,0.43,0.05,0.43
60,1060,Davide Calabria,ITA,DF,Milan,Serie A,25,0.05,0.21,0.27,0.05,0.27,0.06,0.09,0.15,0.06,0.15
61,1061,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,28,0.11,0.23,0.34,0.08,0.3,0.12,0.19,0.31,0.09,0.28
62,1062,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,19,0.0,0.04,0.04,0.0,0.04,0.04,0.07,0.1,0.04,0.1
63,1063,Emre Can,GER,MF,Dortmund,Bundesliga,28,0.09,0.05,0.14,0.05,0.09,0.08,0.06,0.14,0.04,0.1
64,1064,Matteo Cancellieri,ITA,FW,Lazio,Serie A,20,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28
65,1065,João Cancelo,POR,DF,Manchester City,Premier League,28,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12
66,1066,João Cancelo,POR,"DF,FW",Bayern Munich,Bundesliga,28,0.09,0.36,0.44,0.09,0.44,0.06,0.21,0.26,0.06,0.26
67,1067,Valentin Carboni,ARG,"MF,DF",Inter,Serie A,17,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09
68,1068,Carmona,ESP,DF,Sevilla,La Liga,20,0.34,0.17,0.51,0.34,0.51,0.14,0.06,0.2,0.14,0.2
69,1069,Yannick Carrasco,BEL,"DF,MF",Atlético Madrid,La Liga,28,0.27,0.12,0.39,0.23,0.35,0.31,0.16,0.47,0.28,0.44
70,1070,Dani Carvajal,ESP,DF,Real Madrid,La Liga,30,0.0,0.1,0.1,0.0,0.1,0.04,0.1,0.14,0.04,0.14
71,1071,Nicolò Casale,ITA,DF,Lazio,Serie A,24,0.04,0.04,0.07,0.04,0.07,0.02,0.01,0.03,0.02,0.03
72,1072,Casemiro,BRA,MF,Manchester Utd,Premier League,30,0.17,0.13,0.3,0.17,0.3,0.14,0.13,0.28,0.14,0.28
73,1073,Casemiro,BRA,MF,Real Madrid,La Liga,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1074,Danilo Cataldi,ITA,MF,Lazio,Serie A,27,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06
75,1075,Dani Ceballos,ESP,MF,Real Madrid,La Liga,25,0.0,0.23,0.23,0.0,0.23,0.05,0.12,0.17,0.05,0.17
76,1076,El Chadaille Bitshiabu,FRA,DF,Paris S-G,Ligue 1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
77,1077,Shea Charles,NIR,DF,Manchester City,Premier League,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1078,Andreas Christensen,DEN,DF,Barcelona,La Liga,26,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08
79,1079,Alexis Claude-Maurice,FRA,"MF,FW",Lens,Ligue 1,24,0.75,0.45,1.19,0.75,1.19,0.39,0.19,0.58,0.39,0.58
80,1080,Kingsley Coman,FRA,"FW,MF",Bayern Munich,Bundesliga,26,0.51,0.32,0.83,0.51,0.83,0.29,0.35,0.65,0.29,0.65
81,1081,Alex Cordaz,ITA,GK,Inter,Serie A,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1082,Jesús Corona,MEX,FW,Sevilla,La Liga,29,0.81,0.0,0.81,0.81,0.81,0.37,0.2,0.57,0.37,0.57
83,1083,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,27,0.56,0.06,0.62,0.56,0.62,0.44,0.22,0.66,0.44,0.66
84,1084,Joaquín Correa,ARG,FW,Inter,Serie A,27,0.28,0.09,0.38,0.28,0.38,0.33,0.12,0.45,0.33,0.45
85,1085,David Pereira da Costa,POR,"MF,FW",Lens,Ligue 1,21,0.06,0.19,0.26,0.06,0.26,0.18,0.26,0.44,0.18,0.44
86,1086,Soumaïla Coulibaly,FRA,DF,Dortmund,Bundesliga,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1087,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
88,1088,Matheus Cunha,BRA,"FW,MF",Atlético Madrid,La Liga,23,0.0,0.48,0.48,0.0,0.48,0.34,0.2,0.53,0.34,0.53
89,1089,Danilo D'Ambrosio,ITA,DF,Inter,Serie A,33,0.0,0.25,0.25,0.0,0.25,0.03,0.08,0.11,0.03,0.11
90,1090,Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,26,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.24,0.12,0.24
91,1091,Diogo Dalot,POR,DF,Manchester Utd,Premier League,23,0.04,0.08,0.13,0.04,0.13,0.1,0.08,0.18,0.1,0.18
92,1092,Kevin Danso,AUT,DF,Lens,Ligue 1,23,0.03,0.06,0.08,0.03,0.08,0.07,0.03,0.1,0.07,0.1
93,1093,Matteo Darmian,ITA,DF,Inter,Serie A,32,0.04,0.09,0.13,0.04,0.13,0.04,0.09,0.13,0.04,0.13
94,1094,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21,0.04,0.18,0.22,0.04,0.22,0.07,0.16,0.24,0.07,0.24
95,1095,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31,0.26,0.6,0.86,0.26,0.86,0.21,0.51,0.72,0.21,0.72
96,1096,Charles De Ketelaere,BEL,"MF,FW",Milan,Serie A,21,0.0,0.08,0.08,0.0,0.08,0.16,0.16,0.32,0.16,0.32
97,1097,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,0.09,0.33,0.42,0.09,0.42,0.07,0.26,0.34,0.07,0.34
98,1098,Thomas Delaney,DEN,MF,Sevilla,La Liga,30,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
99,1099,Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25,0.32,0.45,0.77,0.32,0.77,0.25,0.31,0.56,0.25,0.56
100,1100,Diego Demme,GER,MF,Napoli,Serie A,30,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
101,1101,Sergiño Dest,USA,DF,Milan,Serie A,21,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.17,0.08,0.17
102,1102,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,28,0.08,0.11,0.19,0.08,0.19,0.07,0.13,0.2,0.07,0.2
103,1103,Abdou Diallo,SEN,"DF,MF",RB Leipzig,Bundesliga,26,0.19,0.0,0.19,0.19,0.19,0.07,0.02,0.09,0.07,0.09
104,1104,Rúben Dias,POR,DF,Manchester City,Premier League,25,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09
105,1105,Brahim Díaz,ESP,"MF,FW",Milan,Serie A,22,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.54,0.28,0.54
106,1106,Federico Dimarco,ITA,DF,Inter,Serie A,24,0.17,0.13,0.3,0.17,0.3,0.13,0.3,0.43,0.13,0.43
107,1107,Marko Dmitrović,SRB,GK,Sevilla,La Liga,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1108,Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24,0.2,0.04,0.24,0.2,0.24,0.08,0.02,0.09,0.08,0.09
109,1109,Matt Doherty,IRL,DF,Atlético Madrid,La Liga,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1110,Kasper Dolberg,DEN,FW,Sevilla,La Liga,24,0.0,0.46,0.46,0.0,0.46,0.02,0.18,0.2,0.02,0.2
111,1111,Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
