,player_id,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
107,1107,Phil Foden,ENG,"FW,MF",Manchester City,Premier League,23,0.6039000000000001,0.495,1.1022,0.6039000000000001,1.1022,0.3465,0.3102,0.6567000000000001,0.3465,0.6567000000000001
108,1108,Emil Forsberg,SWE,"MF,FW",RB Leipzig,Bundesliga,31,0.3375,0.2249999999999999,0.571875,0.2249999999999999,0.459375,0.3124999999999999,0.165625,0.46875,0.21875,0.384375
109,1109,Przemysław Frankowski,POL,DF,RC Lens,Ligue 1,28,0.1308,0.08175,0.204375,0.04905,0.1308,0.11445,0.24525,0.3596999999999999,0.057225,0.2943
110,1110,Davide Frattesi,ITA,MF,Inter Milan,Serie A,23,0.637,0.0,0.637,0.637,0.637,0.8190000000000001,0.0,0.8190000000000001,0.8190000000000001,0.8190000000000001
111,1111,Angelo Fulgini,FRA,MF,RC Lens,Ligue 1,27,0.08175,0.138975,0.2289,0.08175,0.2289,0.1635,0.264325,0.427825,0.1635,0.427825
112,1112,Niclas Füllkrug,GER,FW,Borussia Dortmund,Bundesliga,30,0.5445,0.5445,1.089,0.5445,1.089,0.4960999999999999,0.1815,0.6655,0.4960999999999999,0.6655
113,1113,Javi Galán,ESP,DF,Atlético Madrid,La Liga,28,0.0,0.0,0.0,0.0,0.0,0.0,0.1341999999999999,0.1341999999999999,0.0,0.1341999999999999
114,1114,Eric García,ESP,DF,FC Barcelona,La Liga,22,0.0567,0.0,0.0567,0.0567,0.0567,0.11655,0.0189,0.126,0.11655,0.126
115,1115,Fran Garcia,ESP,DF,Real Madrid,La Liga,24,0.0,0.516,0.516,0.0,0.516,0.0516,0.2838,0.3354,0.0516,0.3354
116,1116,Alejandro Garnacho,ARG,"FW,MF",Manchester United,Premier League,19,0.3948,0.2688,0.6636000000000001,0.3948,0.6636000000000001,0.4592,0.1428,0.602,0.4592,0.602
117,1117,Federico Gattoni,ARG,DF,Sevilla,La Liga,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,1118,Gavi,ESP,"MF,FW",FC Barcelona,La Liga,19,0.1134,0.17955,0.2961,0.1134,0.2961,0.1323,0.16065,0.29295,0.1323,0.29295
119,1119,Olivier Giroud,FRA,FW,AC Milan,Serie A,37,0.7935500000000001,0.41595,1.2095,0.4483999999999999,0.86435,0.7080000000000001,0.2537,0.9617,0.4454499999999999,0.69915
120,1120,Serge Gnabry,GER,"FW,MF",FC Bayern München,Bundesliga,28,0.6386250000000001,0.225975,0.8646,0.5894999999999999,0.815475,0.7205000000000001,0.34715,1.0578250000000002,0.6812,1.02835
121,1121,Sergio Gómez,ESP,FW,Manchester City,Premier League,23,0.0,2.1153,2.1153,0.0,2.1153,0.0891,0.6468,0.7359,0.0891,0.7359
122,1122,Urko González,ESP,MF,Real Sociedad,La Liga,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1123,Anthony Gordon,ENG,FW,Newcastle United,Premier League,22,0.282,0.12,0.402,0.282,0.402,0.378,0.252,0.63,0.378,0.63
124,1124,Leon Goretzka,GER,MF,FC Bayern München,Bundesliga,28,0.24235,0.09825,0.3406,0.24235,0.3406,0.330775,0.12445,0.4519499999999999,0.330775,0.4519499999999999
125,1125,Robin Gosens,GER,DF,Union Berlin,Bundesliga,29,0.378,0.0,0.378,0.378,0.378,0.207375,0.1575,0.364875,0.207375,0.364875
126,1126,Jonathan Gradit,FRA,DF,RC Lens,Ligue 1,30,0.024525,0.08175,0.106275,0.024525,0.106275,0.024525,0.0381499999999999,0.0545,0.024525,0.0545
127,1127,Ryan Gravenberch,NED,FW,FC Bayern München,Bundesliga,21,0.0,0.0,0.0,0.0,0.0,0.13755,0.7074,0.835125,0.13755,0.835125
128,1128,Jack Grealish,ENG,FW,Manchester City,Premier League,28,0.2178,0.4686,0.6864,0.2178,0.6864,0.2574,0.3795,0.6402,0.2574,0.6402
129,1129,Antoine Griezmann,FRA,FW,Atlético Madrid,La Liga,32,0.60085,0.4575,1.0675,0.60085,1.0675,0.4086999999999999,0.4544499999999999,0.8631499999999999,0.4086999999999999,0.8631499999999999
130,1130,Nemanja Gudelj,SRB,DF,Sevilla,La Liga,31,0.12875,0.023175,0.151925,0.12875,0.151925,0.06695,0.007725,0.074675,0.06695,0.074675
131,1131,Mattéo Guendouzi,FRA,MF,SS Lazio,Serie A,24,0.0,0.0,0.0,0.0,0.0,0.0999,0.0,0.0999,0.0999,0.0999
132,1132,Morgan Guilavogui,GUI,"FW,MF",RC Lens,Ligue 1,25,1.0246,0.0,1.0246,1.0246,1.0246,0.4578,0.2507,0.6976000000000001,0.4578,0.6976000000000001
133,1133,Bruno Guimarães,BRA,MF,Newcastle United,Premier League,25,0.168,0.204,0.372,0.168,0.372,0.12,0.15,0.279,0.12,0.279
134,1134,İlkay Gündoğan,GER,MF,FC Barcelona,La Liga,32,0.29295,0.22995,0.5229,0.29295,0.5229,0.3055499999999999,0.2141999999999999,0.5103000000000001,0.2772,0.4819500000000001
135,1135,Joško Gvardiol,CRO,DF,Manchester City,Premier League,21,0.0396,0.0,0.0396,0.0396,0.0396,0.0858,0.0792,0.1551,0.0858,0.1551
136,1136,Erling Haaland,NOR,FW,Manchester City,Premier League,23,1.6071000000000002,0.3135,1.9206,1.3233,1.6368,1.3530000000000002,0.2343,1.5972,1.0956,1.3299
137,1137,Janik Haberer,GER,MF,Union Berlin,Bundesliga,29,0.165375,0.0315,0.196875,0.165375,0.196875,0.126,0.086625,0.21525,0.126,0.21525
138,1138,Massadio Haïdara,MLI,DF,RC Lens,Ligue 1,30,0.0,0.040875,0.040875,0.0,0.040875,0.09265,0.04905,0.1417,0.09265,0.1417
139,1139,Achraf Hakimi,MAR,"DF,MF",Paris Saint-Germain,Ligue 1,24,0.2925,0.1638,0.4562999999999999,0.2925,0.4562999999999999,0.236925,0.1813499999999999,0.4182749999999999,0.236925,0.4182749999999999
140,1140,Lewis Hall,ENG,DF,Newcastle United,Premier League,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1141,Sébastien Haller,CIV,FW,Borussia Dortmund,Bundesliga,29,0.59895,0.19965,0.7986,0.59895,0.7986,0.6261749999999999,0.202675,0.8288500000000001,0.571725,0.7744
142,1142,Kai Havertz,GER,"MF,FW",Arsenal FC,Premier League,24,0.0,0.0,0.0,0.0,0.0,0.299212,0.23622,0.535432,0.299212,0.535432
143,1143,Thorgan Hazard,BEL,DF,Borussia Dortmund,Bundesliga,30,0.0,0.0,0.0,0.0,0.0,0.23595,0.16335,0.3993,0.23595,0.3993
144,1144,Benjamin Henrichs,GER,DF,RB Leipzig,Bundesliga,26,0.1375,0.1375,0.275,0.1375,0.275,0.09375,0.096875,0.190625,0.09375,0.190625
145,1145,Mario Hermoso,ESP,DF,Atlético Madrid,La Liga,28,0.11895,0.08235,0.19215,0.11895,0.19215,0.08845,0.05795,0.1464,0.08845,0.1464
146,1146,Lucas Hernández,FRA,DF,Paris Saint-Germain,Ligue 1,27,0.0,0.0526499999999999,0.0526499999999999,0.0,0.0526499999999999,0.002925,0.067275,0.067275,0.002925,0.067275
147,1147,Theo Hernández,FRA,DF,AC Milan,Serie A,25,0.177,0.0885,0.2655,0.15045,0.2301,0.1475,0.118,0.2654999999999999,0.1298,0.23895
148,1148,Benedict Hollerbach,GER,"MF,FW",Union Berlin,Bundesliga,22,0.0,0.0,0.0,0.0,0.0,0.0315,0.1575,0.189,0.0315,0.189
149,1149,Mats Hummels,GER,DF,Borussia Dortmund,Bundesliga,34,0.1694,0.0,0.1694,0.1694,0.1694,0.245025,0.0484,0.293425,0.245025,0.293425
