,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1035,Koke,es ESP,MF,Atlético Madrid,es La Liga,31-265,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
1038,Randal Kolo Muani,fr FRA,FW,Paris S-G,fr Ligue 1,24-299,0.77,1.54,2.31,0.77,2.31,0.64,0.48,1.13,0.64,1.13
1055,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,24-322,0.14,0.00,0.14,0.14,0.14,0.15,0.07,0.21,0.15,0.21
1058,Mateo Kovačić,hr CRO,MF,Manchester City,eng Premier League,29-147,0.00,0.00,0.00,0.00,0.00,0.04,0.19,0.24,0.04,0.24
1061,Alex Král,cz CZE,MF,Union Berlin,de Bundesliga,25-134,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
1064,Frans Krätzig,de GER,DF,Bayern Munich,de Bundesliga,20-259,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32
1068,Toni Kroos,de GER,MF,Real Madrid,es La Liga,33-269,0.27,0.27,0.53,0.27,0.53,0.10,0.27,0.37,0.10,0.37
1070,Rade Krunić,ba BIH,MF,Milan,it Serie A,29-358,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
1072,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,es La Liga,22-118,0.75,0.19,0.93,0.75,0.93,0.20,0.26,0.46,0.20,0.46
1077,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,22-230,0.26,0.53,0.79,0.26,0.79,0.61,0.25,0.86,0.61,0.86
1086,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,26-291,0.00,0.91,0.91,0.00,0.91,0.06,0.14,0.19,0.06,0.19
1087,Konrad Laimer,at AUT,"DF,MF",Bayern Munich,de Bundesliga,26-126,0.00,0.00,0.00,0.00,0.00,0.05,0.35,0.39,0.05,0.39
1092,Érik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,31-210,0.54,0.00,0.54,0.54,0.54,0.22,0.23,0.45,0.22,0.45
1095,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,29-126,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
1100,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,29-323,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1107,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,29-305,0.00,0.37,0.37,0.00,0.37,0.06,0.14,0.20,0.06,0.20
1109,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,26-058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1113,Robin Le Normand,es ESP,DF,Real Sociedad,es La Liga,26-323,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03
1114,Rafael Leão,pt POR,FW,Milan,it Serie A,24-112,0.64,0.21,0.85,0.64,0.85,0.35,0.14,0.49,0.35,0.49
1120,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24-250,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
1124,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27-322,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10
1128,Christopher Lenz,de GER,DF,RB Leipzig,de Bundesliga,29-008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1133,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,35-040,0.68,0.41,1.09,0.54,0.95,0.83,0.11,0.95,0.73,0.84
1135,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,18-313,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,24-049,1.06,0.00,1.06,1.06,1.06,0.31,0.00,0.31,0.31,0.31
1139,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,29-075,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
1140,Jesper Lindstrøm,dk DEN,"FW,MF",Napoli,it Serie A,23-213,0.00,0.00,0.00,0.00,0.00,0.19,0.42,0.62,0.19,0.62
1145,Valentino Livramento,eng ENG,"DF,FW",Newcastle Utd,eng Premier League,20-322,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1149,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,28-243,0.45,0.00,0.45,0.45,0.45,0.11,0.12,0.23,0.11,0.23
1153,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28-309,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
1158,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,27-250,0.22,0.22,0.45,0.22,0.45,0.12,0.21,0.32,0.12,0.32
1161,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25-335,0.33,0.33,0.66,0.33,0.66,0.16,0.20,0.36,0.16,0.36
1167,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,20-142,1.05,0.00,1.05,1.05,1.05,1.07,0.11,1.18,1.07,1.18
1189,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,20-287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1190,Dodi Lukebakio,be BEL,FW,Sevilla,es La Liga,26-006,0.70,0.00,0.70,0.70,0.70,0.62,0.05,0.67,0.62,0.67
1192,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24-231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1199,Deiver Machado,co COL,DF,Lens,fr Ligue 1,30-028,0.39,0.00,0.39,0.39,0.39,0.08,0.08,0.17,0.08,0.17
1211,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30-209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1214,Mike Maignan,fr FRA,GK,Milan,it Serie A,28-089,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1225,Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,24-264,0.59,0.00,0.59,0.59,0.59,0.34,0.17,0.51,0.34,0.51
1237,Faitout Maouassa,fr FRA,DF,Lens,fr Ligue 1,25-086,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.16,0.06,0.16
1244,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,28-253,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
1245,Mariano,do DOM,FW,Sevilla,es La Liga,30-060,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.41,0.41,0.41
1255,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,29-139,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06
1259,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,27-299,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
1263,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,22-104,0.00,0.51,0.51,0.00,0.51,0.17,0.08,0.26,0.17,0.26
1266,Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,32-136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1268,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,26-039,0.88,0.18,1.06,0.88,1.06,0.54,0.06,0.61,0.54,0.61
1269,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25-255,0.00,0.24,0.24,0.00,0.24,0.00,0.02,0.02,0.00,0.02
1271,Adam Marušić,me MNE,DF,Lazio,it Serie A,30-348,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
1291,Eric Maxim Choupo-Moting,cm CMR,"MF,FW",Bayern Munich,de Bundesliga,34-191,0.91,0.00,0.91,0.91,0.91,1.56,0.06,1.62,1.56,1.62
1295,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,25-320,0.00,0.28,0.28,0.00,0.28,0.17,0.18,0.34,0.17,0.34
1301,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,24-284,1.85,0.00,1.85,1.32,1.32,0.93,0.18,1.11,0.52,0.70
1308,James Mcatee,eng ENG,MF,Manchester City,eng Premier League,20-347,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1314,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,26-296,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
1315,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,24-125,0.00,0.17,0.17,0.00,0.17,0.02,0.08,0.10,0.02,0.10
1320,Hannibal Mejbri,tn TUN,MF,Manchester Utd,eng Premier League,20-252,0.77,0.00,0.77,0.77,0.77,0.02,0.29,0.31,0.02,0.31
1326,Memphis,nl NED,FW,Atlético Madrid,es La Liga,29-229,1.29,0.00,1.29,1.29,1.29,1.42,0.13,1.56,1.42,1.56
1328,Brais Méndez,es ESP,"MF,FW",Real Sociedad,es La Liga,26-266,0.17,0.50,0.66,0.17,0.66,0.09,0.19,0.29,0.09,0.29
1331,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,28-114,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
1333,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,31-099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1336,Alex Meret,it ITA,GK,Napoli,it Serie A,26-192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1337,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,27-100,0.00,0.23,0.23,0.00,0.23,0.05,0.10,0.15,0.05,0.15
1348,Éder Militão,br BRA,DF,Real Madrid,es La Liga,25-255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1354,Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,26-319,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
1360,Rafa Mir,es ESP,FW,Sevilla,es La Liga,26-104,0.54,0.00,0.54,0.54,0.54,0.22,0.10,0.33,0.22,0.33
1372,Henrikh Mkhitaryan,am ARM,MF,Inter,it Serie A,34-252,0.35,0.18,0.53,0.35,0.53,0.20,0.18,0.38,0.20,0.38
1373,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,38-021,0.00,0.00,0.00,0.00,0.00,0.12,0.23,0.35,0.12,0.35
1380,Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,25-177,0.35,0.00,0.35,0.35,0.35,0.14,0.06,0.20,0.14,0.20
1388,Álvaro Morata,es ESP,FW,Atlético Madrid,es La Liga,30-342,1.14,0.00,1.14,1.14,1.14,0.67,0.00,0.67,0.67,0.67
1398,Youssoufa Moukoko,de GER,"FW,MF",Dortmund,de Bundesliga,18-314,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
1400,Mason Mount,eng ENG,MF,Manchester Utd,eng Premier League,24-263,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
1406,Nordi Mukiele,fr FRA,DF,Paris S-G,fr Ligue 1,25-333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1409,Thomas Müller,de GER,MF,Bayern Munich,de Bundesliga,34-017,0.00,0.53,0.53,0.00,0.53,0.13,0.82,0.95,0.13,0.95
1414,Aihen Muñoz,es ESP,DF,Real Sociedad,es La Liga,26-045,0.00,0.21,0.21,0.00,0.21,0.01,0.14,0.14,0.01,0.14
1419,Jacob Murphy,eng ENG,FW,Newcastle Utd,eng Premier League,28-218,0.00,18.00,18.00,0.00,18.00,0.00,10.18,10.18,0.00,10.18
1420,Yunus Musah,us USA,"FW,MF",Milan,it Serie A,20-305,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.19,0.07,0.19
1421,Jamal Musiala,de GER,MF,Bayern Munich,de Bundesliga,20-216,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14
1434,Nacho,es ESP,DF,Real Madrid,es La Liga,33-255,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.17,0.11,0.17
1440,Natan,br BRA,DF,Napoli,it Serie A,22-236,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1442,Jesús Navas,es ESP,DF,Sevilla,es La Liga,37-313,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
1447,Cher Ndour,it ITA,MF,Paris S-G,fr Ligue 1,19-065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1451,Reiss Nelson,eng ENG,FW,Arsenal,eng Premier League,23-294,0.00,0.00,0.00,0.00,0.00,0.14,0.45,0.58,0.14,0.58
1464,Saúl Ñíguez,es ESP,MF,Atlético Madrid,es La Liga,28-313,0.00,0.79,0.79,0.00,0.79,0.05,0.41,0.46,0.05,0.46
1467,Eddie Nketiah,eng ENG,FW,Arsenal,eng Premier League,24-123,0.42,0.00,0.42,0.42,0.42,0.33,0.04,0.37,0.33,0.37
1469,Felix Nmecha,de GER,"MF,FW",Dortmund,de Bundesliga,22-355,0.00,0.27,0.27,0.00,0.27,0.13,0.07,0.20,0.13,0.20
1476,Matheus Nunes,pt POR,MF,Manchester City,eng Premier League,25-034,0.00,0.79,0.79,0.00,0.79,0.00,0.11,0.11,0.00,0.11
1482,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,33-020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1487,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,30-266,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1488,Lucas Ocampos,ar ARG,FW,Sevilla,es La Liga,29-081,0.00,0.18,0.18,0.00,0.18,0.19,0.08,0.27,0.19,0.27
1490,Álvaro Odriozola,es ESP,DF,Real Sociedad,es La Liga,27-290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1494,Noah Okafor,ch SUI,FW,Milan,it Serie A,23-129,0.52,0.00,0.52,0.52,0.52,0.43,0.00,0.43,0.43,0.43
1498,Olasagasti,es ESP,MF,Real Sociedad,es La Liga,23-045,0.00,0.00,0.00,0.00,0.00,1.54,0.00,1.54,1.54,1.54
1501,Mathías Olivera,uy URU,DF,Napoli,it Serie A,25-334,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13
1502,Dani Olmo,es ESP,"MF,FW",RB Leipzig,de Bundesliga,25-146,0.68,0.34,1.02,0.68,1.02,0.16,0.17,0.33,0.16,0.33
1511,André Onana,cm CMR,GK,Manchester Utd,eng Premier League,27-181,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1515,Loïs Openda,be BEL,FW,RB Leipzig,de Bundesliga,23-226,0.75,0.25,1.01,0.75,1.01,0.55,0.16,0.71,0.55,0.71
1518,Willi Orban,hu HUN,DF,RB Leipzig,de Bundesliga,30-331,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
1525,Victor Osimhen,ng NGA,FW,Napoli,it Serie A,24-275,0.72,0.00,0.72,0.54,0.54,0.81,0.04,0.85,0.52,0.56
1535,Mikel Oyarzabal,es ESP,FW,Real Sociedad,es La Liga,26-162,0.42,0.21,0.63,0.21,0.42,0.34,0.14,0.48,0.17,0.31
1537,Salih Özcan,tr TUR,MF,Dortmund,de Bundesliga,25-262,0.00,0.00,0.00,0.00,0.00,0.01,0.31,0.33,0.01,0.33
1540,Jon Pacheco,es ESP,"DF,MF",Real Sociedad,es La Liga,22-265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1550,Cole Palmer,eng ENG,MF,Manchester City,eng Premier League,21-147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1553,Miloš Pantović,rs SRB,MF,Union Berlin,de Bundesliga,27-085,6.00,0.00,6.00,6.00,6.00,4.55,0.00,4.55,4.55,4.55
1563,Thomas Partey,gh GHA,DF,Arsenal,eng Premier League,30-109,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
1566,Patric,es ESP,DF,Lazio,it Serie A,30-166,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
1570,Benjamin Pavard,fr FRA,DF,Inter,it Serie A,27-186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577,Pedri,es ESP,MF,Barcelona,es La Liga,20-309,0.54,0.00,0.54,0.54,0.54,0.50,0.49,0.99,0.50,0.99
1578,Pedro,es ESP,FW,Lazio,it Serie A,36-064,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.51,0.00,0.51
1579,Adrià Pedrosa,es ESP,DF,Sevilla,es La Liga,25-140,0.00,0.22,0.22,0.00,0.22,0.04,0.09,0.13,0.04,0.13
1581,Jordan Pefok,us USA,FW,Union Berlin,de Bundesliga,27-157,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40
1584,Luca Pellegrini,it ITA,DF,Lazio,it Serie A,24-207,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
1586,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,eng Premier League,21-284,0.00,0.00,0.00,0.00,0.00,1.54,0.00,1.54,1.54,1.54
1592,Danilo Pereira,pt POR,DF,Paris S-G,fr Ligue 1,32-021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1618,Kalvin Phillips,eng ENG,MF,Manchester City,eng Premier League,27-302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1632,Tommaso Pobega,it ITA,MF,Milan,it Serie A,24-077,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1634,Matteo Politano,it ITA,FW,Napoli,it Serie A,30-058,0.53,0.26,0.79,0.53,0.79,0.20,0.27,0.47,0.20,0.47
1638,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,31-164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1643,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,29-107,0.00,0.31,0.31,0.00,0.31,0.07,0.03,0.10,0.07,0.10
1650,Ivan Provedel,it ITA,GK,Lazio,it Serie A,29-197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1655,Christian Pulisic,us USA,"FW,MF",Milan,it Serie A,25-012,0.41,0.20,0.61,0.41,0.61,0.23,0.04,0.27,0.23,0.27
1668,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,35-204,0.00,0.00,0.00,0.00,0.00,0.07,0.29,0.36,0.07,0.36
1674,Gonçalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,22-102,0.57,0.00,0.57,0.57,0.57,0.44,0.19,0.63,0.44,0.63
1675,Sergio Ramos,es ESP,DF,Sevilla,es La Liga,37-184,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
1676,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25-139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1682,Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,26-290,0.84,0.42,1.26,0.84,1.26,0.49,0.45,0.93,0.49,0.93
1684,Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,25-334,0.17,0.17,0.34,0.17,0.34,0.42,0.16,0.59,0.42,0.59
1685,Giacomo Raspadori,it ITA,"FW,MF",Napoli,it Serie A,23-224,0.30,0.00,0.30,0.30,0.30,0.48,0.10,0.58,0.25,0.35
1687,David Raum,de GER,DF,RB Leipzig,de Bundesliga,25-161,0.21,0.41,0.62,0.21,0.62,0.02,0.17,0.19,0.02,0.19
1688,David Raya,es ESP,GK,Arsenal,eng Premier League,28-015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1694,Sergio Reguilón,es ESP,DF,Manchester Utd,eng Premier League,26-288,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
1696,Tijjani Reijnders,nl NED,MF,Milan,it Serie A,25-063,0.00,0.18,0.18,0.00,0.18,0.10,0.11,0.21,0.10,0.21
1698,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,28-190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1701,Marco Reus,de GER,MF,Dortmund,de Bundesliga,34-122,1.08,0.36,1.44,1.08,1.44,0.39,0.28,0.67,0.39,0.67
1706,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,24-259,0.18,0.00,0.18,0.18,0.18,0.12,0.12,0.24,0.12,0.24
1718,Rodrigo Riquelme,es ESP,"MF,DF",Atlético Madrid,es La Liga,23-181,1.13,0.00,1.13,1.13,1.13,0.83,0.00,0.83,0.83,0.83
1721,Sergi Roberto,es ESP,DF,Barcelona,es La Liga,31-235,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1729,Rodri,es ESP,MF,Manchester City,eng Premier League,27-100,0.37,0.19,0.56,0.37,0.56,0.19,0.17,0.36,0.19,0.36
1738,Rodrygo,br BRA,FW,Real Madrid,es La Liga,22-264,0.15,0.15,0.30,0.15,0.30,0.42,0.11,0.53,0.30,0.41
1743,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,28-261,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
1747,Luka Romero,ar ARG,FW,Milan,it Serie A,18-316,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1748,Oriol Romeu,es ESP,MF,Barcelona,es La Liga,32-006,0.00,0.19,0.19,0.00,0.19,0.11,0.12,0.23,0.11,0.23
1755,Jérôme Roussillon,fr FRA,"DF,FW",Union Berlin,de Bundesliga,30-267,0.00,1.02,1.02,0.00,1.02,0.00,0.21,0.21,0.00,0.21
1756,Nicolò Rovella,it ITA,MF,Lazio,it Serie A,21-300,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
1757,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,29-218,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12
1760,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,30-211,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
1763,Mário Rui,pt POR,DF,Napoli,it Serie A,32-126,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
1765,Fabián Ruiz Peña,es ESP,"MF,FW",Paris S-G,fr Ligue 1,27-180,0.00,0.74,0.74,0.00,0.74,0.20,0.20,0.40,0.20,0.40
1768,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,25-317,0.25,0.00,0.25,0.25,0.25,0.13,0.09,0.22,0.13,0.22
1769,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,31-057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774,Marcel Sabitzer,at AUT,MF,Dortmund,de Bundesliga,29-197,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.30,0.20,0.30
1776,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,26-240,0.00,0.00,0.00,0.00,0.00,0.59,0.05,0.64,0.59,0.64
1778,Wesley Saïd,fr FRA,"FW,MF",Lens,fr Ligue 1,28-164,0.83,0.00,0.83,0.83,0.83,1.03,0.07,1.10,1.03,1.10
1779,Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,22-025,0.50,0.34,0.84,0.17,0.50,0.52,0.30,0.81,0.25,0.55
1783,Kike Salas,es ESP,DF,Sevilla,es La Liga,21-160,0.52,0.00,0.52,0.52,0.52,0.10,0.01,0.11,0.10,0.11
1784,William Saliba,fr FRA,DF,Arsenal,eng Premier League,22-190,0.00,0.17,0.17,0.00,0.17,0.01,0.01,0.02,0.01,0.02
1791,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,29-158,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1795,Samuel,br BRA,DF,Atlético Madrid,es La Liga,23-281,0.00,0.80,0.80,0.00,0.80,0.01,0.69,0.70,0.01,0.70
1801,Alexis Sánchez,cl CHI,FW,Inter,it Serie A,34-285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1804,Juanlu Sánchez,es ESP,DF,Sevilla,es La Liga,20-046,0.00,0.43,0.43,0.00,0.43,0.01,0.07,0.08,0.01,0.08
1807,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,eng Premier League,23-189,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
1810,Leroy Sané,de GER,FW,Bayern Munich,de Bundesliga,27-262,0.84,0.00,0.84,0.84,0.84,0.62,0.20,0.82,0.62,0.82
1826,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,32-265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1833,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,31-284,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
1835,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,26-002,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07
1837,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,23-303,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.13,0.08,0.13
1852,Nicolas Seiwald,at AUT,MF,RB Leipzig,de Bundesliga,22-149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1860,Stefano Sensi,it ITA,MF,Inter,it Serie A,28-056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1862,Benjamin Šeško,si SVN,FW,RB Leipzig,de Bundesliga,20-122,1.46,0.00,1.46,1.46,1.46,0.53,0.06,0.59,0.53,0.59
1866,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,28-080,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.36
1873,Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,29-051,0.32,0.32,0.63,0.32,0.63,0.11,0.33,0.44,0.11,0.44
1879,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,23-150,0.00,0.21,0.21,0.00,0.21,0.01,0.13,0.14,0.01,0.14
1880,Giovanni Simeone,ar ARG,"FW,MF",Napoli,it Serie A,28-087,1.58,0.00,1.58,1.58,1.58,0.88,0.11,0.99,0.88,0.99
1883,Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,20-162,0.70,0.94,1.64,0.70,1.64,0.18,0.16,0.34,0.18,0.34
1887,Ayanda Sishuba,be BEL,MF,Lens,fr Ligue 1,18-240,0.00,0.00,0.00,0.00,0.00,0.99,0.13,1.12,0.99,1.12
1894,Leo Skiri Østigård,no NOR,DF,Napoli,it Serie A,23-306,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
1898,Milan Škriniar,sk SVK,DF,Paris S-G,fr Ligue 1,28-231,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
