,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1711,Marcão,br BRA,DF,Sevilla,es La Liga,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1724,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,27,0.07,0.04,0.11,0.07,0.11,0.07,0.02,0.10,0.07,0.10
1725,Mariano,do DOM,FW,Real Madrid,es La Liga,28,0.00,0.00,0.00,0.00,0.00,0.32,0.25,0.57,0.32,0.57
1726,Pablo Marín,es ESP,"MF,FW",Real Sociedad,es La Liga,19,0.00,0.00,0.00,0.00,0.00,0.31,0.20,0.51,0.31,0.51
1732,Marquinhos,br BRA,MF,Arsenal,eng Premier League,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1733,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,28,0.07,0.00,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09
1738,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,26,0.55,0.18,0.74,0.46,0.64,0.58,0.13,0.70,0.50,0.63
1740,Ander Martin,es ESP,"MF,FW",Real Sociedad,es La Liga,21,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26
1743,Carlos Martín,es ESP,"FW,MF",Atlético Madrid,es La Liga,20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
1746,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,21,0.48,0.16,0.65,0.48,0.65,0.30,0.29,0.59,0.30,0.59
1750,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,24,0.73,0.21,0.94,0.70,0.91,0.63,0.19,0.82,0.58,0.76
1751,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,24,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03
1755,Adam Marušić,me MNE,DF,Lazio,it Serie A,29,0.00,0.07,0.07,0.00,0.07,0.02,0.03,0.06,0.02,0.06
1780,Eric Maxim Choupo-Moting,cm CMR,FW,Bayern Munich,de Bundesliga,33,0.81,0.16,0.97,0.81,0.97,0.49,0.16,0.65,0.43,0.59
1781,Luís Maximiano,pt POR,GK,Lazio,it Serie A,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1787,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,24,0.08,0.33,0.42,0.08,0.42,0.09,0.16,0.25,0.09,0.25
1791,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,23,0.93,0.16,1.09,0.83,0.99,0.84,0.23,1.07,0.71,0.94
1807,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,25,0.08,0.00,0.08,0.08,0.08,0.15,0.04,0.19,0.15,0.19
1809,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,23,0.06,0.13,0.19,0.06,0.19,0.08,0.06,0.14,0.08,0.14
1817,Memphis,nl NED,FW,Atlético Madrid,es La Liga,28,1.33,0.00,1.33,1.33,1.33,1.00,0.16,1.16,1.00,1.16
1818,Memphis,nl NED,FW,Barcelona,es La Liga,28,0.79,0.00,0.79,0.79,0.79,0.68,0.11,0.79,0.68,0.79
1821,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,20,0.06,0.35,0.41,0.06,0.41,0.06,0.17,0.23,0.06,0.23
1824,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,25,0.30,0.15,0.45,0.30,0.45,0.21,0.14,0.35,0.21,0.35
1830,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,27,0.00,0.07,0.07,0.00,0.07,0.02,0.04,0.06,0.02,0.06
1835,Alex Meret,it ITA,GK,Napoli,it Serie A,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1836,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,26,0.07,0.32,0.40,0.07,0.40,0.15,0.20,0.35,0.13,0.32
1841,Lionel Messi,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,35,0.51,0.51,1.02,0.51,1.02,0.49,0.43,0.92,0.49,0.92
1842,Junior Messias,br BRA,"FW,DF",Milan,it Serie A,31,0.30,0.12,0.42,0.30,0.42,0.14,0.05,0.18,0.14,0.18
1844,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,30,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12
1846,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1847,Sven Michel,de GER,"FW,MF",Union Berlin,de Bundesliga,32,0.55,0.18,0.73,0.36,0.55,0.30,0.16,0.46,0.16,0.32
1851,Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,16,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42
1854,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,27,0.27,0.24,0.51,0.27,0.51,0.20,0.21,0.41,0.20,0.41
1856,Éder Militão,br BRA,DF,Real Madrid,es La Liga,24,0.17,0.00,0.17,0.17,0.17,0.08,0.02,0.10,0.08,0.10
1863,Kim Min-jae,kr KOR,DF,Napoli,it Serie A,25,0.06,0.06,0.12,0.06,0.12,0.03,0.06,0.09,0.03,0.09
1868,Rafa Mir,es ESP,FW,Sevilla,es La Liga,25,0.42,0.00,0.42,0.42,0.42,0.51,0.07,0.58,0.51,0.58
1872,Antonio Mirante,it ITA,GK,Milan,it Serie A,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1880,Henrikh Mkhitaryan,am ARM,MF,Inter,it Serie A,33,0.14,0.09,0.23,0.14,0.23,0.13,0.10,0.22,0.13,0.22
1881,Anthony Modeste,fr FRA,FW,Dortmund,de Bundesliga,34,0.22,0.11,0.33,0.22,0.33,0.48,0.12,0.60,0.48,0.60
1882,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,36,0.21,0.15,0.36,0.15,0.31,0.22,0.23,0.45,0.18,0.41
1890,Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,24,0.13,0.06,0.19,0.13,0.19,0.08,0.12,0.20,0.08,0.20
1899,Gonzalo Montiel,ar ARG,DF,Sevilla,es La Liga,25,0.00,0.18,0.18,0.00,0.18,0.04,0.13,0.17,0.04,0.17
1904,Álvaro Morata,es ESP,FW,Atlético Madrid,es La Liga,29,0.62,0.09,0.71,0.62,0.71,0.56,0.09,0.65,0.56,0.65
1921,Youssoufa Moukoko,de GER,FW,Dortmund,de Bundesliga,17,0.55,0.24,0.79,0.55,0.79,0.50,0.14,0.65,0.50,0.65
1933,Nordi Mukiele,fr FRA,DF,Paris S-G,fr Ligue 1,24,0.00,0.24,0.24,0.00,0.24,0.08,0.17,0.25,0.08,0.25
1936,Thomas Müller,de GER,"FW,MF",Bayern Munich,de Bundesliga,32,0.38,0.43,0.81,0.38,0.81,0.48,0.36,0.84,0.48,0.84
1940,Aihen Muñoz,es ESP,DF,Real Sociedad,es La Liga,24,0.00,0.05,0.05,0.00,0.05,0.01,0.05,0.06,0.01,0.06
1941,Álvaro Muñoz,uy URU,FW,Real Madrid,es La Liga,18,1.14,1.14,2.28,1.14,2.28,0.28,0.33,0.60,0.28,0.60
1947,Jacob Murphy,eng ENG,FW,Newcastle Utd,eng Premier League,27,0.29,0.14,0.43,0.29,0.43,0.24,0.20,0.44,0.24,0.44
1951,Jamal Musiala,de GER,"MF,FW",Bayern Munich,de Bundesliga,19,0.49,0.41,0.90,0.49,0.90,0.33,0.27,0.60,0.33,0.60
1964,Nacho,es ESP,DF,Real Madrid,es La Liga,32,0.05,0.05,0.11,0.05,0.11,0.04,0.05,0.09,0.04,0.09
1968,Roberto Navarro,es ESP,"MF,FW",Real Sociedad,es La Liga,20,0.00,0.00,0.00,0.00,0.00,0.26,0.32,0.58,0.26,0.58
1969,Jesús Navas,es ESP,"DF,FW",Sevilla,es La Liga,36,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.14,0.01,0.14
1976,Tanguy Ndombele,fr FRA,MF,Napoli,it Serie A,25,0.11,0.00,0.11,0.11,0.11,0.11,0.05,0.16,0.11,0.16
1978,Reiss Nelson,eng ENG,FW,Arsenal,eng Premier League,22,1.27,0.85,2.12,1.27,2.12,0.46,0.58,1.04,0.46,1.04
1983,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,36,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
1986,Neymar,br BRA,"MF,FW",Paris S-G,fr Ligue 1,30,0.76,0.64,1.40,0.64,1.28,0.47,0.51,0.98,0.38,0.89
1992,Tanguy Nianzou,fr FRA,DF,Sevilla,es La Liga,20,0.07,0.00,0.07,0.07,0.07,0.03,0.00,0.03,0.03,0.03
1997,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,es La Liga,27,0.25,0.08,0.33,0.25,0.33,0.20,0.05,0.25,0.20,0.25
2002,Justin Njinmah,de GER,FW,Dortmund,de Bundesliga,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003,Eddie Nketiah,eng ENG,FW,Arsenal,eng Premier League,23,0.33,0.08,0.41,0.33,0.41,0.68,0.11,0.78,0.68,0.78
2004,Christopher Nkunku,fr FRA,"FW,MF",RB Leipzig,de Bundesliga,24,0.76,0.19,0.95,0.62,0.81,0.68,0.20,0.89,0.54,0.74
2009,Hugo Novoa,es ESP,"DF,FW",RB Leipzig,de Bundesliga,19,0.49,0.00,0.49,0.49,0.49,0.43,0.02,0.45,0.43,0.45
2019,Ethan Nwaneri,eng ENG,FW,Arsenal,eng Premier League,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021,Ørjan Nyland,no NOR,GK,RB Leipzig,de Bundesliga,31,0.00,0.50,0.50,0.00,0.50,0.00,0.06,0.06,0.00,0.06
2026,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2029,Lucas Ocampos,ar ARG,"FW,MF",Sevilla,es La Liga,28,0.31,0.00,0.31,0.08,0.08,0.35,0.11,0.45,0.17,0.27
2032,Álvaro Odriozola,es ESP,DF,Real Madrid,es La Liga,26,0.00,0.00,0.00,0.00,0.00,0.56,0.66,1.22,0.56,1.22
2040,Olasagasti,es ESP,"MF,DF",Real Sociedad,es La Liga,21,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
2047,Mathías Olivera,uy URU,DF,Napoli,it Serie A,24,0.11,0.11,0.22,0.11,0.22,0.04,0.12,0.16,0.04,0.16
2048,Dani Olmo,es ESP,"MF,FW",RB Leipzig,de Bundesliga,24,0.14,0.35,0.49,0.14,0.49,0.21,0.32,0.52,0.21,0.52
2057,André Onana,cm CMR,GK,Inter,it Serie A,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2058,Jean Onana,cm CMR,"MF,DF",Lens,fr Ligue 1,22,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
2063,Loïs Openda,be BEL,FW,Lens,fr Ligue 1,22,0.75,0.14,0.89,0.72,0.86,0.66,0.14,0.80,0.63,0.77
2064,Willi Orban,hu HUN,DF,RB Leipzig,de Bundesliga,29,0.12,0.00,0.12,0.12,0.12,0.09,0.01,0.10,0.09,0.10
2066,Divock Origi,be BEL,FW,Milan,it Serie A,27,0.18,0.09,0.26,0.18,0.26,0.19,0.10,0.29,0.19,0.29
2070,Stefan Ortega,de GER,GK,Manchester City,eng Premier League,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2071,Pedro Ortiz,es ESP,MF,Sevilla,es La Liga,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2073,Victor Osimhen,ng NGA,FW,Napoli,it Serie A,23,0.91,0.14,1.05,0.84,0.98,0.75,0.10,0.85,0.66,0.76
2083,Adam Ounas,dz ALG,FW,Napoli,it Serie A,25,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
2088,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,es La Liga,25,0.30,0.07,0.37,0.15,0.22,0.34,0.16,0.51,0.17,0.33
2089,Salih Özcan,tr TUR,MF,Dortmund,de Bundesliga,24,0.00,0.06,0.06,0.00,0.06,0.03,0.03,0.06,0.03,0.06
2092,Levin Öztunalı,de GER,MF,Union Berlin,de Bundesliga,26,0.00,10.00,10.00,0.00,10.00,0.00,1.91,1.91,0.00,1.91
2095,Jon Pacheco,es ESP,DF,Real Sociedad,es La Liga,21,0.00,0.08,0.08,0.00,0.08,0.01,0.01,0.01,0.01,0.01
2104,Cole Palmer,eng ENG,"MF,FW",Manchester City,eng Premier League,20,0.00,0.24,0.24,0.00,0.24,0.30,0.14,0.44,0.30,0.44
2108,Miloš Pantović,rs SRB,MF,Union Berlin,de Bundesliga,26,0.44,0.00,0.44,0.44,0.44,0.60,0.00,0.60,0.25,0.25
2110,Antonios Papadopoulos,de GER,DF,Dortmund,de Bundesliga,22,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
2116,Leandro Paredes,ar ARG,MF,Paris S-G,fr Ligue 1,28,0.00,1.73,1.73,0.00,1.73,0.00,0.72,0.72,0.00,0.72
2121,Thomas Partey,gh GHA,MF,Arsenal,eng Premier League,29,0.11,0.00,0.11,0.11,0.11,0.08,0.06,0.14,0.08,0.14
2122,Marco Pašalić,hr CRO,MF,Dortmund,de Bundesliga,21,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40
2125,Felix Passlack,de GER,DF,Dortmund,de Bundesliga,24,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.56,0.00,0.56
2127,Patric,es ESP,DF,Lazio,it Serie A,29,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
2133,Benjamin Pavard,fr FRA,DF,Bayern Munich,de Bundesliga,26,0.15,0.04,0.19,0.15,0.19,0.09,0.09,0.18,0.09,0.18
2140,Pedri,es ESP,MF,Barcelona,es La Liga,19,0.27,0.05,0.32,0.27,0.32,0.22,0.23,0.45,0.22,0.45
2141,Pedro,es ESP,FW,Lazio,it Serie A,35,0.19,0.14,0.33,0.19,0.33,0.16,0.13,0.29,0.16,0.29
2143,Jordan Pefok,us USA,FW,Union Berlin,de Bundesliga,26,0.27,0.27,0.53,0.27,0.53,0.30,0.12,0.42,0.19,0.31
2149,Luca Pellegrini,it ITA,DF,Lazio,it Serie A,23,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15
2152,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,eng Premier League,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2153,Timothee Pembele,fr FRA,DF,Paris S-G,fr Ligue 1,19,0.00,0.34,0.34,0.00,0.34,0.05,0.11,0.17,0.05,0.17
2154,Iñaki Peña,es ESP,GK,Barcelona,es La Liga,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2165,Danilo Pereira,pt POR,"DF,MF",Paris S-G,fr Ligue 1,30,0.07,0.00,0.07,0.07,0.07,0.09,0.02,0.10,0.09,0.10
2185,Máximo Perrone,ar ARG,MF,Manchester City,eng Premier League,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2196,Kalvin Phillips,eng ENG,MF,Manchester City,eng Premier League,26,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.14,0.10,0.14
2210,Gerard Piqué,es ESP,DF,Barcelona,es La Liga,35,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.09,0.09,0.09
2218,Tommaso Pobega,it ITA,MF,Milan,it Serie A,23,0.20,0.00,0.20,0.20,0.20,0.15,0.03,0.17,0.15,0.17
2222,Matteo Politano,it ITA,FW,Napoli,it Serie A,28,0.23,0.23,0.46,0.08,0.31,0.32,0.28,0.60,0.13,0.41
2227,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2228,Łukasz Poręba,pl POL,MF,Lens,fr Ligue 1,22,0.00,0.35,0.35,0.00,0.35,0.20,0.23,0.44,0.20,0.44
2236,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,28,0.44,0.22,0.66,0.44,0.66,0.29,0.39,0.68,0.29,0.68
2245,Ivan Provedel,it ITA,GK,Lazio,it Serie A,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2248,Tymoteusz Puchacz,pl POL,DF,Union Berlin,de Bundesliga,23,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
2266,Ștefan Radu,ro ROU,FW,Lazio,it Serie A,35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2270,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,34,0.05,0.15,0.20,0.00,0.15,0.17,0.10,0.26,0.09,0.18
2276,Sergio Ramos,es ESP,DF,Paris S-G,fr Ligue 1,36,0.07,0.03,0.10,0.07,0.10,0.06,0.01,0.06,0.06,0.06
2277,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2284,Raphinha,br BRA,FW,Barcelona,es La Liga,25,0.30,0.30,0.61,0.30,0.61,0.41,0.43,0.83,0.41,0.83
2288,Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,24,0.53,0.16,0.69,0.53,0.69,0.48,0.11,0.59,0.48,0.59
2290,Giacomo Raspadori,it ITA,"FW,MF",Napoli,it Serie A,22,0.20,0.20,0.40,0.20,0.40,0.35,0.13,0.47,0.35,0.47
2292,David Raum,de GER,"DF,MF",RB Leipzig,de Bundesliga,24,0.00,0.11,0.11,0.00,0.11,0.03,0.25,0.28,0.03,0.28
2297,Ante Rebić,hr CRO,"FW,MF",Milan,it Serie A,28,0.28,0.18,0.46,0.28,0.46,0.32,0.19,0.50,0.32,0.50
2301,Sergio Reguilón,es ESP,DF,Atlético Madrid,es La Liga,25,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.07,0.18
2308,Karim Rekik,nl NED,DF,Sevilla,es La Liga,27,0.08,0.08,0.15,0.08,0.15,0.06,0.01,0.07,0.06,0.07
2309,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311,Marco Reus,de GER,"MF,FW",Dortmund,de Bundesliga,33,0.40,0.27,0.67,0.33,0.60,0.34,0.17,0.51,0.29,0.46
2315,Gio Reyna,us USA,"FW,MF",Dortmund,de Bundesliga,19,1.01,0.29,1.30,0.86,1.15,0.62,0.18,0.81,0.51,0.69
2316,Chadi Riad,ma MAR,MF,Barcelona,es La Liga,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2325,Diego Rico,es ESP,DF,Real Sociedad,es La Liga,29,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09
2332,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,eng Premier League,32,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24
2333,Sergi Roberto,es ESP,"DF,MF",Barcelona,es La Liga,30,0.28,0.07,0.34,0.28,0.34,0.17,0.06,0.23,0.17,0.23
2345,Rodri,es ESP,MF,Manchester City,eng Premier League,26,0.06,0.19,0.25,0.06,0.25,0.14,0.13,0.27,0.14,0.27
2355,Rodrygo,br BRA,"FW,MF",Real Madrid,es La Liga,21,0.34,0.30,0.64,0.30,0.61,0.52,0.26,0.78,0.49,0.75
2362,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,27,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.05,0.04,0.05
2367,Iván Romero,es ESP,MF,Sevilla,es La Liga,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2368,Luka Romero,ar ARG,FW,Lazio,it Serie A,17,0.60,0.00,0.60,0.60,0.60,0.52,0.04,0.55,0.52,0.55
2371,Cristiano Ronaldo,pt POR,FW,Manchester Utd,eng Premier League,37,0.17,0.00,0.17,0.17,0.17,0.32,0.07,0.40,0.32,0.40
2378,Tom Rothe,de GER,DF,Dortmund,de Bundesliga,17,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
2382,Jérôme Roussillon,fr FRA,DF,Union Berlin,de Bundesliga,29,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16,0.05,0.16
2385,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,28,0.07,0.04,0.11,0.07,0.11,0.07,0.04,0.11,0.07,0.11
2388,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,29,0.04,0.00,0.04,0.04,0.04,0.07,0.00,0.07,0.07,0.07
2393,Mário Rui,pt POR,DF,Napoli,it Serie A,31,0.00,0.31,0.31,0.00,0.31,0.03,0.20,0.24,0.03,0.24
2396,Fabián Ruiz Peña,es ESP,MF,Paris S-G,fr Ligue 1,26,0.14,0.10,0.24,0.14,0.24,0.13,0.10,0.23,0.13,0.23
2403,Julian Ryerson,no NOR,DF,Union Berlin,de Bundesliga,24,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10
2404,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,24,0.06,0.06,0.13,0.06,0.13,0.03,0.10,0.13,0.03,0.13
2405,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,29,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00
2410,Marcel Sabitzer,at AUT,MF,Manchester Utd,eng Premier League,28,0.00,0.14,0.14,0.00,0.14,0.11,0.13,0.24,0.11,0.24
2411,Marcel Sabitzer,at AUT,MF,Bayern Munich,de Bundesliga,28,0.14,0.14,0.29,0.14,0.29,0.15,0.05,0.20,0.15,0.20
2414,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,25,1.10,0.00,1.10,1.10,1.10,0.50,0.00,0.50,0.50,0.50
2415,Alexis Saelemaekers,be BEL,"FW,DF",Milan,it Serie A,23,0.13,0.19,0.32,0.13,0.32,0.16,0.27,0.42,0.16,0.42
2416,Wesley Saïd,fr FRA,"FW,MF",Lens,fr Ligue 1,27,0.70,0.00,0.70,0.70,0.70,0.46,0.13,0.59,0.46,0.59
2418,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,eng Premier League,25,0.08,0.40,0.48,0.08,0.48,0.13,0.37,0.50,0.13,0.50
2421,Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,20,0.40,0.31,0.71,0.34,0.65,0.32,0.24,0.56,0.26,0.50
2428,Kike Salas,es ESP,DF,Sevilla,es La Liga,20,0.24,0.24,0.49,0.24,0.49,0.04,0.05,0.09,0.04,0.09
2429,William Saliba,fr FRA,DF,Arsenal,eng Premier League,21,0.07,0.04,0.11,0.07,0.11,0.03,0.04,0.08,0.03,0.08
2438,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2439,Albert Sambi Lokonga,be BEL,MF,Arsenal,eng Premier League,22,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
2448,Renato Sanches,pt POR,MF,Paris S-G,fr Ligue 1,24,0.25,0.00,0.25,0.25,0.25,0.14,0.21,0.35,0.14,0.35
2456,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,eng Premier League,22,0.32,0.16,0.48,0.32,0.48,0.22,0.27,0.49,0.22,0.49
2458,Leroy Sané,de GER,"MF,FW",Bayern Munich,de Bundesliga,26,0.36,0.31,0.67,0.36,0.67,0.38,0.19,0.57,0.38,0.57
2466,Pablo Sarabia,es ESP,"FW,MF",Paris S-G,fr Ligue 1,30,0.00,0.00,0.00,0.00,0.00,0.32,0.33,0.64,0.32,0.64
2470,Bouna Sarr,sn SEN,FW,Bayern Munich,de Bundesliga,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2477,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,31,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
2484,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,23,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
2485,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,30,0.03,0.08,0.11,0.03,0.11,0.14,0.09,0.23,0.14,0.23
2489,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,24,0.06,0.06,0.12,0.06,0.12,0.02,0.04,0.06,0.02,0.06
2492,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,22,0.16,0.20,0.36,0.16,0.36,0.06,0.07,0.13,0.06,0.13
2505,Manuel Sebastián,es ESP,MF,Sevilla,es La Liga,18,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
2510,Paul Seguin,de GER,MF,Union Berlin,de Bundesliga,27,0.13,0.39,0.52,0.13,0.52,0.16,0.26,0.41,0.16,0.41
2529,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,27,0.04,0.07,0.11,0.04,0.11,0.04,0.13,0.16,0.04,0.16
2530,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2537,André Silva,pt POR,FW,RB Leipzig,de Bundesliga,26,0.21,0.16,0.36,0.21,0.36,0.47,0.15,0.62,0.47,0.62
2538,Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,27,0.16,0.20,0.37,0.16,0.37,0.09,0.13,0.22,0.09,0.22
2540,David Silva,es ESP,MF,Real Sociedad,es La Liga,36,0.09,0.23,0.33,0.09,0.33,0.18,0.17,0.35,0.18,0.35
2545,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,22,0.06,0.06,0.12,0.06,0.12,0.10,0.08,0.18,0.10,0.18
2546,Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,27,0.89,0.22,1.11,0.89,1.11,0.30,0.26,0.56,0.30,0.56
2561,Tim Skarke,de GER,"DF,MF",Union Berlin,de Bundesliga,25,0.00,0.00,0.00,0.00,0.00,0.39,0.02,0.41,0.39,0.41
2565,Leo Skiri Østigård,no NOR,DF,Napoli,it Serie A,22,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
2568,Milan Škriniar,sk SVK,DF,Inter,it Serie A,27,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
2574,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,eng Premier League,22,0.00,1.05,1.05,0.00,1.05,0.14,0.36,0.50,0.14,0.50
2576,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2581,Alex Sola,es ESP,DF,Real Sociedad,es La Liga,23,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
2587,Carlos Soler,es ESP,MF,Paris S-G,fr Ligue 1,25,0.23,0.15,0.38,0.23,0.38,0.12,0.11,0.23,0.12,0.23
