,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
995,Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,25,0.10,0.10,0.21,0.10,0.21,0.13,0.29,0.42,0.13,0.42
998,Matteo Gabbia,it ITA,DF,Milan,it Serie A,22,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1000,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,22,1.18,1.18,2.37,1.18,2.37,1.42,0.22,1.64,1.42,1.64
1001,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,28,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.13,0.10,0.13
1015,Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,23,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
1023,Eric García,es ESP,"DF,MF",Barcelona,es La Liga,21,0.06,0.00,0.06,0.06,0.06,0.10,0.02,0.11,0.10,0.11
1029,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,eng Premier League,18,0.47,0.32,0.79,0.47,0.79,0.48,0.16,0.64,0.48,0.64
1032,Aleix Garrido,es ESP,FW,Barcelona,es La Liga,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1036,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,17,0.07,0.14,0.21,0.07,0.21,0.11,0.13,0.24,0.11,0.24
1038,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1048,Ismaël Gharbi,es ESP,"MF,FW",Paris S-G,fr Ligue 1,18,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32
1054,Niko Gießelmann,de GER,DF,Union Berlin,de Bundesliga,30,0.00,0.14,0.14,0.00,0.14,0.08,0.11,0.19,0.08,0.19
1058,Bryan Gil,es ESP,"FW,DF",Sevilla,es La Liga,21,0.20,0.20,0.39,0.20,0.39,0.28,0.07,0.35,0.28,0.35
1061,Mario Gila,es ESP,DF,Lazio,it Serie A,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1068,Olivier Giroud,fr FRA,FW,Milan,it Serie A,35,0.55,0.21,0.76,0.42,0.63,0.53,0.17,0.70,0.44,0.61
1069,Serge Gnabry,de GER,"FW,MF",Bayern Munich,de Bundesliga,27,0.65,0.23,0.88,0.60,0.83,0.52,0.25,0.76,0.48,0.73
1073,Pierluigi Gollini,it ITA,GK,Napoli,it Serie A,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1083,Papu Gómez,ar ARG,"FW,MF",Sevilla,es La Liga,34,0.08,0.08,0.17,0.08,0.17,0.12,0.15,0.27,0.12,0.27
1085,Sergio Gómez,es ESP,"DF,MF",Manchester City,eng Premier League,21,0.00,0.26,0.26,0.00,0.26,0.09,0.30,0.39,0.09,0.39
1086,Antonio Gomis,es ESP,GK,Atlético Madrid,es La Liga,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1098,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,21,0.18,0.00,0.18,0.18,0.18,0.31,0.17,0.48,0.31,0.48
1100,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,27,0.16,0.10,0.26,0.16,0.26,0.25,0.12,0.37,0.25,0.37
1101,Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,25,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08
1102,Robin Gosens,de GER,DF,Inter,it Serie A,28,0.23,0.00,0.23,0.23,0.23,0.23,0.18,0.41,0.23,0.41
1107,Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,29,0.03,0.10,0.13,0.03,0.13,0.03,0.04,0.06,0.03,0.06
1110,Ryan Gravenberch,nl NED,MF,Bayern Munich,de Bundesliga,20,0.00,0.00,0.00,0.00,0.00,0.14,0.08,0.21,0.14,0.21
1115,Ivo Grbić,hr CRO,GK,Atlético Madrid,es La Liga,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1116,Jack Grealish,eng ENG,FW,Manchester City,eng Premier League,26,0.22,0.31,0.53,0.22,0.53,0.20,0.31,0.51,0.20,0.51
1123,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,es La Liga,31,0.47,0.50,0.98,0.47,0.98,0.39,0.44,0.83,0.39,0.83
1125,Lennart Grill,de GER,GK,Union Berlin,de Bundesliga,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1135,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,es La Liga,30,0.10,0.03,0.13,0.10,0.13,0.06,0.01,0.07,0.06,0.07
1142,Raphaël Guerreiro,pt POR,"DF,MF",Dortmund,de Bundesliga,28,0.16,0.47,0.63,0.16,0.63,0.11,0.30,0.41,0.11,0.41
1146,Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,25,0.00,0.00,0.00,0.00,0.00,0.01,0.28,0.29,0.01,0.29
