Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
40,Ilias Akhomach,es ESP,"FW,MF",Villarreal,es La Liga,19-188,2004,5,0,110,1.2,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,4,4,12,0.00,0.82,0.82,0.00,0.82,0.05,0.24,0.29,0.05,0.29,Matches
41,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-309,1997,8,8,720,8.0,2,0,2,2,0,0,1,0,1.0,1.0,0.7,1.8,16,17,42,0.25,0.00,0.25,0.25,0.25,0.13,0.09,0.22,0.13,0.22,Matches
42,Maghnes Akliouche,fr FRA,MF,Monaco,fr Ligue 1,21-238,2002,6,1,131,1.5,3,1,4,3,0,0,1,0,1.3,1.3,0.2,1.5,2,8,19,2.06,0.69,2.75,2.06,2.75,0.90,0.10,1.01,0.90,1.01,Matches
43,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-305,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25-305,1997,2,2,126,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31-010,1992,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28-185,1995,3,1,116,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,31-119,1992,7,7,580,6.4,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.7,6,32,10,0.00,0.16,0.16,0.00,0.16,0.04,0.06,0.10,0.04,0.10,Matches
48,Luis Alberto,es ESP,MF,Lazio,it Serie A,31-023,1992,8,8,685,7.6,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.4,36,86,39,0.26,0.13,0.39,0.26,0.39,0.08,0.10,0.18,0.08,0.18,Matches
49,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38-047,1985,7,6,526,5.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,16,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
50,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32-173,1991,9,9,749,8.3,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.5,9,35,7,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Omar Alderete,py PAR,"DF,MF",Getafe,es La Liga,26-299,1996,4,2,209,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,5,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
52,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28-253,1995,9,8,598,6.6,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,19,12,39,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04,Matches
53,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-289,1998,9,6,440,4.9,1,1,2,1,0,0,2,0,0.8,0.8,1.0,1.8,4,7,18,0.20,0.20,0.41,0.20,0.41,0.16,0.21,0.37,0.16,0.37,Matches
54,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25-014,1998,6,5,420,4.7,0,1,1,0,0,0,2,0,0.2,0.2,0.9,1.1,15,21,10,0.00,0.21,0.21,0.00,0.21,0.04,0.19,0.23,0.04,0.23,Matches
55,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19-275,2004,7,1,180,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,12,1,15,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
56,Faride Alidou,de GER,"MF,FW",Köln,de Bundesliga,22-095,2001,5,1,179,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,6,19,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.11,0.11,0.11,Matches
57,Nabil Alioui,fr FRA,"FW,MF",Le Havre,fr Ligue 1,24-245,1999,9,8,598,6.6,4,0,4,4,0,0,0,0,1.0,1.0,1.3,2.3,11,21,44,0.60,0.00,0.60,0.60,0.60,0.15,0.20,0.35,0.15,0.35,Matches
58,Alisson,br BRA,GK,Liverpool,eng Premier League,31-019,1992,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
59,Jim Allevinah,ga GAB,"DF,MF",Clermont Foot,fr Ligue 1,28-236,1995,7,5,440,4.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,29,15,32,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08,Matches
60,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23-144,2000,8,6,479,5.3,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.8,13,23,12,0.00,0.19,0.19,0.00,0.19,0.03,0.12,0.16,0.03,0.16,Matches
61,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-253,1994,8,7,564,6.3,2,0,2,2,0,0,1,0,1.1,1.1,0.4,1.5,30,22,56,0.32,0.00,0.32,0.32,0.32,0.18,0.06,0.24,0.18,0.24,Matches
62,Pontus Almqvist,se SWE,FW,Lecce,it Serie A,24-103,1999,8,8,693,7.7,1,0,1,1,0,0,1,0,0.6,0.6,0.4,0.9,33,15,49,0.13,0.00,0.13,0.13,0.13,0.07,0.05,0.12,0.07,0.12,Matches
63,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-297,1990,3,2,150,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,8,9,26,0.00,0.00,0.00,0.00,0.00,0.06,0.27,0.33,0.06,0.33,Matches
64,Sergi Altimira,es ESP,MF,Betis,es La Liga,22-057,2001,3,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
65,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25-362,1997,7,6,501,5.6,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,0,9,5,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
66,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-211,2000,8,7,633,7.0,1,0,1,1,0,0,1,0,0.2,0.2,0.4,0.6,4,16,6,0.14,0.00,0.14,0.14,0.14,0.04,0.06,0.09,0.04,0.09,Matches
67,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23-263,2000,8,8,662,7.4,3,3,6,3,0,0,2,0,2.6,2.6,1.1,3.7,16,25,44,0.41,0.41,0.82,0.41,0.82,0.36,0.15,0.51,0.36,0.51,Matches
