Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1236,Răzvan Marin,ro ROU,MF,Empoli,it Serie A,27-151,1996,7,6,488,5.4,0,0,0,0,0,0,0,0,0.4,0.4,1.0,1.3,7,22,10,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.24,0.07,0.24,Matches
1237,Diego Mariño,es ESP,GK,Almería,es La Liga,33-165,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1238,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,29-168,1994,6,5,451,5.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,14,1,0.20,0.00,0.20,0.20,0.20,0.03,0.00,0.04,0.03,0.04,Matches
1239,Mika Màrmol,es ESP,DF,Las Palmas,es La Liga,21-111,2002,7,7,588,6.5,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,6,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1240,Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,de Bundesliga,24-256,1999,7,5,419,4.7,1,0,1,1,0,0,3,0,1.5,1.5,1.2,2.7,18,6,27,0.21,0.00,0.21,0.21,0.21,0.32,0.26,0.58,0.32,0.58,Matches
1241,Marquinhos,br BRA,"FW,MF",Nantes,fr Ligue 1,20-197,2003,5,1,91,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,1,4,8,0.00,0.00,0.00,0.00,0.00,0.24,0.47,0.71,0.24,0.71,Matches
1242,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,29-160,1994,7,6,549,6.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,38,2,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
1243,Agustín Martegani,ar ARG,MF,Salernitana,it Serie A,23-154,2000,7,3,357,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,10,17,10,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,Matches
1244,Eric Martel,de GER,MF,Köln,de Bundesliga,21-175,2002,4,4,322,3.6,0,0,0,0,0,0,1,0,1.1,1.1,0.0,1.1,0,6,4,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.31,0.30,0.31,Matches
1245,Roger Martí,es ESP,FW,Cádiz,es La Liga,32-291,1991,8,7,537,6.0,1,0,1,1,0,0,1,0,1.6,1.6,0.2,1.8,5,5,17,0.17,0.00,0.17,0.17,0.17,0.26,0.03,0.30,0.26,0.30,Matches
1246,Anthony Martial,fr FRA,"FW,MF",Manchester Utd,eng Premier League,27-320,1995,6,2,192,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,7,17,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.19,0.11,0.19,Matches
1247,Aarón Martín,es ESP,DF,Genoa,it Serie A,26-182,1997,5,3,192,2.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,2,5,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1248,Iván Martín,es ESP,"MF,FW",Girona,es La Liga,24-249,1999,8,7,567,6.3,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.8,14,19,22,0.16,0.00,0.16,0.16,0.16,0.07,0.05,0.12,0.07,0.12,Matches
1249,Jonas Martin,fr FRA,MF,Brest,fr Ligue 1,33-195,1990,8,1,232,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,5,15,4,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.23,0.11,0.23,Matches
1250,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,22-125,2001,6,5,401,4.5,1,2,3,1,0,0,0,0,0.8,0.8,0.4,1.1,18,15,56,0.22,0.45,0.67,0.22,0.67,0.17,0.08,0.25,0.17,0.25,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1251,Arnau Martinez,es ESP,DF,Girona,es La Liga,20-179,2003,5,5,366,4.1,0,1,1,0,0,0,2,0,0.0,0.0,0.6,0.6,8,11,1,0.00,0.25,0.25,0.00,0.25,0.00,0.16,0.16,0.00,0.16,Matches
1252,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,31-049,1992,7,7,630,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1253,Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,32-157,1991,3,1,93,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1254,Josep Martinez,es ESP,GK,Genoa,it Serie A,25-147,1998,8,8,719,8.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1255,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,26-060,1997,8,7,636,7.1,10,1,11,9,1,1,2,0,4.8,4.0,0.3,4.4,12,21,43,1.42,0.14,1.56,1.27,1.42,0.68,0.05,0.73,0.57,0.62,Matches
1256,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25-276,1998,5,5,375,4.2,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,6,26,1,0.00,0.24,0.24,0.00,0.24,0.00,0.02,0.02,0.00,0.02,Matches
1257,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,27-164,1996,6,6,540,6.0,2,0,2,2,0,0,2,0,0.8,0.8,0.1,1.0,3,31,3,0.33,0.00,0.33,0.33,0.33,0.14,0.02,0.16,0.14,0.16,Matches
1258,Adam Marušić,me MNE,DF,Lazio,it Serie A,31-004,1992,8,8,695,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,11,28,26,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches
1259,Marvin,es ESP,"FW,DF",Las Palmas,es La Liga,23-110,2000,5,0,158,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,7,3,21,0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.25,0.06,0.25,Matches
1260,Omar Mascarell,es ESP,MF,Mallorca,es La Liga,30-261,1993,5,3,245,2.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,4,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1261,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,24-333,1998,7,6,543,6.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,13,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
1262,Roberto Massimo,de GER,"DF,FW",Stuttgart,de Bundesliga,23-009,2000,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1263,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,30-348,1992,6,6,470,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,10,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
1264,Jaime Mata,es ESP,"MF,FW",Getafe,es La Liga,34-362,1988,8,6,409,4.5,0,0,0,0,0,0,4,1,0.1,0.1,0.2,0.4,6,5,32,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
1265,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,21-037,2002,8,7,557,6.2,1,1,2,1,0,0,2,0,1.7,1.7,0.9,2.6,11,48,23,0.16,0.16,0.32,0.16,0.32,0.27,0.14,0.41,0.27,0.41,Matches
1266,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,21-248,2002,6,0,102,1.1,0,1,1,0,0,0,2,0,0.1,0.1,1.0,1.1,2,10,2,0.00,0.88,0.88,0.00,0.88,0.07,0.91,0.98,0.07,0.98,Matches
1267,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,26-115,1997,6,2,307,3.4,0,3,3,0,0,0,0,0,0.3,0.3,1.1,1.4,2,4,21,0.00,0.88,0.88,0.00,0.88,0.08,0.33,0.41,0.08,0.41,Matches
1268,Nemanja Matić,rs SRB,MF,Rennes,fr Ligue 1,35-081,1988,7,6,559,6.2,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,5,45,4,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.12,0.02,0.12,Matches
1269,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,32-074,1991,6,6,508,5.6,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,5,24,0,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.08,0.08,0.08,Matches
1270,Alex Matos,eng ENG,MF,Chelsea,eng Premier League,19-018,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1271,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,21-159,2002,3,1,138,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,5,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
1272,Alan Matturro,uy URU,"DF,FW",Genoa,it Serie A,19-010,2004,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1273,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,25-176,1998,8,8,689,7.7,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,4,32,5,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
1274,Neal Maupay,fr FRA,FW,Brentford,eng Premier League,27-068,1996,3,0,56,0.6,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,1,6,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53,Matches
1275,Neal Maupay,fr FRA,FW,Everton,eng Premier League,27-068,1996,2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6,0.00,0.00,0.00,0.00,0.00,1.16,0.05,1.22,1.16,1.22,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1276,Aïman Maurer,ma MAR,"MF,FW",Clermont Foot,fr Ligue 1,19-026,2004,2,0,31,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,4,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
1277,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,25-314,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1278,Christian Mawissa,fr FRA,DF,Toulouse,fr Ligue 1,18-186,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1279,Philipp Max,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,30-021,1993,6,4,304,3.4,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,9,8,20,0.00,0.30,0.30,0.00,0.30,0.02,0.30,0.32,0.02,0.32,Matches
1280,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Bayern Munich,de Bundesliga,34-212,1989,6,1,106,1.2,1,0,1,1,0,0,0,0,1.8,1.8,0.1,1.9,3,4,11,0.85,0.00,0.85,0.85,0.85,1.52,0.05,1.58,1.52,1.58,Matches
1281,Luís Maximiano,pt POR,GK,Almería,es La Liga,24-289,1999,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1282,Borja Mayoral,es ESP,FW,Getafe,es La Liga,26-199,1997,9,8,639,7.1,4,1,5,2,2,2,2,0,3.6,2.0,0.3,2.4,9,17,26,0.56,0.14,0.70,0.28,0.42,0.51,0.05,0.55,0.29,0.33,Matches
1283,Youssef Maziz,fr FRA,"FW,MF",Metz,fr Ligue 1,25-119,1998,2,2,124,1.4,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,6,2,0.73,0.00,0.73,0.73,0.73,0.08,0.04,0.12,0.08,0.12,Matches
1284,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,25-341,1997,6,5,415,4.6,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,16,38,33,0.00,0.22,0.22,0.00,0.22,0.13,0.14,0.27,0.13,0.27,Matches
1285,Luca Mazzitelli,it ITA,MF,Frosinone,it Serie A,27-340,1995,8,8,693,7.7,2,0,2,2,0,0,2,0,0.6,0.6,0.1,0.7,5,56,14,0.26,0.00,0.26,0.26,0.26,0.08,0.01,0.09,0.08,0.09,Matches
1286,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,28-086,1995,8,6,440,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,22,18,33,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches
1287,Kevin Mbabu,ch SUI,DF,Augsburg,de Bundesliga,28-185,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,8,11,9,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
1288,Noah Mbamba,be BEL,MF,Leverkusen,de Bundesliga,18-289,2005,1,0,11,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,0,2,0,0.00,8.18,8.18,0.00,8.18,0.20,4.59,4.80,0.20,4.80,Matches
1289,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,24-305,1998,7,6,521,5.8,7,0,7,5,2,2,1,0,5.9,4.3,1.7,6.1,32,30,78,1.21,0.00,1.21,0.86,0.86,1.02,0.30,1.32,0.75,1.05,Matches
1290,Malick Mbaye,sn SEN,"MF,FW",Metz,fr Ligue 1,19-198,2004,3,1,144,1.6,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,8,1,16,0.00,0.00,0.00,0.00,0.00,0.27,0.12,0.40,0.27,0.40,Matches
1291,Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,25-115,1998,1,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1292,Chancel Mbemba,cd COD,DF,Marseille,fr Ligue 1,29-074,1994,8,8,717,8.0,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,3,28,3,0.13,0.00,0.13,0.13,0.13,0.06,0.01,0.07,0.06,0.07,Matches
1293,Nolan Mbemba,cg CGO,MF,Le Havre,fr Ligue 1,28-244,1995,5,0,16,0.2,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,5.63,0.00,5.63,5.63,5.63,0.23,0.00,0.23,0.23,0.23,Matches
1294,Bryan Mbeumo,cm CMR,"FW,DF",Brentford,eng Premier League,24-075,1999,8,8,720,8.0,4,0,4,2,2,2,1,0,4.7,3.1,1.2,4.3,23,30,69,0.50,0.00,0.50,0.25,0.25,0.59,0.15,0.73,0.39,0.54,Matches
1295,Jordi Mboula,es ESP,"MF,FW",Hellas Verona,it Serie A,24-219,1999,3,2,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,2,7,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
1296,James Mcatee,eng ENG,MF,Sheffield Utd,eng Premier League,21-003,2002,4,3,237,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,8,8,13,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.21,0.13,0.21,Matches
1297,James Mcatee,eng ENG,MF,Manchester City,eng Premier League,21-003,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1298,Oliver McBurnie,sct SCO,FW,Sheffield Utd,eng Premier League,27-139,1996,5,4,379,4.2,0,1,1,0,0,0,3,1,0.8,0.8,0.5,1.3,2,7,19,0.00,0.24,0.24,0.00,0.24,0.19,0.12,0.31,0.19,0.31,Matches
1299,John McGinn,sct SCO,"FW,MF",Aston Villa,eng Premier League,29-003,1994,8,8,657,7.3,1,1,2,1,0,0,2,0,0.9,0.9,1.1,2.0,8,42,22,0.14,0.14,0.27,0.14,0.27,0.12,0.15,0.27,0.12,0.27,Matches
1300,Scott McKenna,sct SCO,DF,Nott'ham Forest,eng Premier League,26-343,1996,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,10,0,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1301,Weston McKennie,us USA,"FW,MF",Juventus,it Serie A,25-054,1998,8,6,526,5.8,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,15,11,37,0.00,0.17,0.17,0.00,0.17,0.05,0.10,0.15,0.05,0.15,Matches
1302,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,23-333,1999,5,4,366,4.1,0,1,1,0,0,0,0,0,0.6,0.6,1.7,2.3,16,9,20,0.00,0.25,0.25,0.00,0.25,0.14,0.42,0.56,0.14,0.56,Matches
1303,Scott McTominay,sct SCO,"MF,FW",Manchester Utd,eng Premier League,26-317,1996,5,2,187,2.1,2,0,2,2,0,0,0,0,0.4,0.4,0.0,0.5,3,5,6,0.96,0.00,0.96,0.96,0.96,0.20,0.02,0.23,0.20,0.23,Matches
1304,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,24-146,1999,8,7,647,7.2,0,1,1,0,0,0,5,0,0.1,0.1,0.5,0.6,6,60,4,0.00,0.14,0.14,0.00,0.14,0.01,0.07,0.08,0.01,0.08,Matches
1305,Ben Mee,eng ENG,DF,Brentford,eng Premier League,34-030,1989,2,2,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
1306,Marvin Mehlem,de GER,MF,Darmstadt 98,de Bundesliga,26-040,1997,7,7,531,5.9,3,1,4,3,0,0,3,0,2.2,2.2,0.4,2.6,12,20,25,0.51,0.17,0.68,0.51,0.68,0.37,0.06,0.44,0.37,0.44,Matches
1307,Bamo Meïté,ci CIV,"DF,FW",Marseille,fr Ligue 1,22-123,2001,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1308,Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,22-123,2001,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1309,Hannibal Mejbri,tn TUN,MF,Manchester Utd,eng Premier League,20-273,2003,2,1,117,1.3,1,0,1,1,0,0,1,0,0.0,0.0,0.4,0.4,2,6,8,0.77,0.00,0.77,0.77,0.77,0.02,0.29,0.31,0.02,0.31,Matches
1310,Óscar Melendo,es ESP,"MF,FW",Granada,es La Liga,26-059,1997,8,7,511,5.7,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,7,11,8,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
1311,Gonzalo Melero,es ESP,"MF,FW",Almería,es La Liga,29-292,1994,8,6,512,5.7,0,1,1,0,0,0,1,0,0.6,0.6,0.7,1.3,12,21,18,0.00,0.18,0.18,0.00,0.18,0.11,0.12,0.23,0.11,0.23,Matches
1312,Birger Meling,no NOR,DF,Rennes,fr Ligue 1,28-308,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.80,0.80,Matches
1313,Arthur Melo,br BRA,MF,Fiorentina,it Serie A,27-070,1996,8,6,521,5.8,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,3,27,7,0.00,0.17,0.17,0.00,0.17,0.00,0.12,0.12,0.00,0.12,Matches
1314,Memphis,nl NED,FW,Atlético Madrid,es La Liga,29-250,1994,4,2,139,1.5,2,0,2,2,0,0,0,0,2.2,2.2,0.2,2.4,4,3,11,1.29,0.00,1.29,1.29,1.29,1.42,0.13,1.56,1.42,1.56,Matches
1315,Houboulang Mendes,gw GNB,DF,Almería,es La Liga,25-170,1998,2,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
1316,Brais Méndez,es ESP,"MF,FW",Real Sociedad,es La Liga,26-287,1997,9,8,724,8.0,1,3,4,1,0,0,3,0,0.7,0.7,1.3,2.0,14,46,42,0.12,0.37,0.50,0.12,0.50,0.09,0.16,0.25,0.09,0.25,Matches
1317,Diego Méndez,es ESP,MF,Rayo Vallecano,es La Liga,20-053,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1318,Benjamin Mendy,fr FRA,DF,Lorient,fr Ligue 1,29-096,1994,3,0,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,5,7,12,0.00,0.00,0.00,0.00,0.00,0.02,0.34,0.35,0.02,0.35,Matches
1319,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,28-135,1995,3,2,200,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,10,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
1320,Formose Mendy,sn SEN,DF,Lorient,fr Ligue 1,22-292,2001,3,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
1321,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,31-120,1992,2,2,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1322,Teden Mengi,eng ENG,DF,Luton Town,eng Premier League,21-174,2002,3,1,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
1323,Chris Mepham,wls WAL,DF,Bournemouth,eng Premier League,25-350,1997,2,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
1324,Jorge Meré,es ESP,DF,Cádiz,es La Liga,26-187,1997,4,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
1325,Alex Meret,it ITA,GK,Napoli,it Serie A,26-213,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1326,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,27-121,1996,7,6,529,5.9,0,1,1,0,0,0,3,0,0.2,0.2,0.4,0.6,7,20,26,0.00,0.17,0.17,0.00,0.17,0.04,0.07,0.11,0.04,0.11,Matches
1327,Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,21-158,2002,8,8,692,7.7,0,1,1,0,0,0,0,0,0.4,0.4,0.9,1.2,16,48,27,0.00,0.13,0.13,0.00,0.13,0.05,0.11,0.16,0.05,0.16,Matches
1328,Junior Messias,br BRA,DF,Genoa,it Serie A,32-161,1991,2,0,28,0.3,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.3,2,1,5,3.21,0.00,3.21,3.21,3.21,0.71,0.14,0.86,0.71,0.86,Matches
1329,Bastien Meupiyou,fr FRA,DF,Nantes,fr Ligue 1,17-216,2006,1,1,8,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1330,Omenuke Mfulu,cd COD,MF,Las Palmas,es La Liga,29-215,1994,4,1,69,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1331,Sven Michel,de GER,"FW,MF",Augsburg,de Bundesliga,33-098,1990,5,2,228,2.5,1,1,2,0,1,1,2,0,0.9,0.1,0.3,0.4,1,6,12,0.39,0.39,0.79,0.00,0.39,0.36,0.12,0.48,0.05,0.17,Matches
1332,Miguel,es ESP,"FW,MF",Alavés,es La Liga,24-048,1999,3,1,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
1333,Georges Mikautadze,ge GEO,FW,Metz,fr Ligue 1,22-355,2000,3,3,258,2.9,2,1,3,2,0,0,0,0,1.2,1.2,0.1,1.3,9,8,14,0.70,0.35,1.05,0.70,1.05,0.42,0.03,0.45,0.42,0.45,Matches
